"Numéro *";"Date de la facture *";"Numéro du devis";"Nom du projet";"Rue du client";"Code postal du client";"Ville du client";"Responsable commercial";"Montant HT *";"Montant TTC *";"Montant TTC du *";"Montant taxe 20.00000%";"Montant taxe 10.00000%";"Montant taxe 5.50000%";"Montant taxe 0.00000%"
230905-Japaflo-4403;05/09/2023;CDE-Japaflo-28-08-2023-OERC636;;"39 BIS AVENUE DE PARIS";51100;REIMS;"SAS CIGAGESTION";882.2;1058.64;"Non payé";176.44;;;
230905-GVML-4402;05/09/2023;CDE-GVML-28-08-2023-CRPR637;;"39 BIS AVENUE DE PARIS";51100;REIMS;"SAS CIGAGESTION";1186.96;1424.352;"Non payé";237.392;;;
230829-CDE-HPFI-RONCQ-du-23-08-2023-ETAZ634-4400;29/08/2023;CDE-HPFI-RONCQ-du-23-08-2023-ETAZ634;;"76bis, Rue Franklin Roosevelt";59420;Mouvaux;HPFI;791.20;949.44;"Non payé";158.24;;;
230829-CDE-HPFI-YZY-Comines-23-08-2023-MBRT635-4399;29/08/2023;CDE-HPFI-YZY-Comines-23-08-2023-MBRT635;;"76bis, Rue Franklin Roosevelt";59420;Mouvaux;HPFI;550.60;660.72;"Non payé";110.12;;;
230829-CDE-BelloMondo-21-08-2023-WNZX630-4398;29/08/2023;CDE-BelloMondo-21-08-2023-WNZX630;;"HELSTSTRAAT 150-159 CP 26";2630;AARTSELAAR;"Bello Mondo";407.00;407.00;"Non payé";;;;0.00
230825-CDE-APYSCOR-18-08-2023-MWWJ632-4397;25/08/2023;CDE-APYSCOR-18-08-2023-MWWJ632;;"Avenue Zenobe Gramme 5";1480;Saintes;"ETS JF Maes";3175.20;3175.20;"Non payé";;;;0.00
230824-CDE-PRO-AADDCXBXS-Olivier-Lebret-NABL624-4396;24/08/2023;CDE-PRO-AADDCXBXS-Olivier-Lebret-NABL624;;"36 Route de Touvent";24580;"Rouffignac st cernin de reilhac";"Peintures tendances / vapote-market";249.71;299.65;"Non payé";49.94;;;
230824-Extravape-Extravape-4395;24/08/2023;CDE-Extravape-la-vape-d-Aur-UVGM625;;"39 BIS AVENUE DE PARIS";51100;REIMS;"SAS CIGAGESTION";3088.7;3706.44;"Non payé";617.74;;;
230824-CDE-ELEC-Clope18-08-2023-FTMM627-4394;24/08/2023;CDE-ELEC-Clope18-08-2023-FTMM627;;"46 RUE GARIBALDI";76300;"SOTTEVILLE LES ROUEN";"Elec clope";271.41;325.69;"Non payé";54.28;;;
230823-CDE-Vapair-21-08-2023-ECRD633-4393;23/08/2023;CDE-Vapair-21-08-2023-ECRD633;;"15 rue Roger Bouvry";59213;SECLIN;"ALTERNA DJC (VAP AIR)";449.23;539.08;"Non payé";89.85;;;
230823-CDE-VAPAIR-28-07-23-HJQL616-4392;23/08/2023;CDE-VAPAIR-28-07-23-HJQL616;;"15 rue Roger Bouvry";59213;SECLIN;"ALTERNA DJC (VAP AIR)";531.06;637.27;"Non payé";106.21;;;
230823-CDE-Culturevap-reliquat-12-07-23-TKED611-4391;23/08/2023;CDE-Culturevap-reliquat-12-07-23-TKED611;;"10F Rue de la Retardais";35000;Rennes;"Culture Vap - Beyond the vapes";178.85;214.62;"Non payé";35.77;;;
230822-CDE-PO2307-0065-Annule-et-remplace-PO0054-JRIC604-4390;22/08/2023;CDE-PO2307-0065-Annule-et-remplace-PO0054-JRIC604;;"18 CHEMIN DU TISON";86000;POITIERS;"Laboratoire Cérès";2058.00;2420.21;"Non payé";403.37;;;
230821-CDE-HPFI-YZY-RONCQ-FTOA623-4389;21/08/2023;CDE-HPFI-YZY-RONCQ-FTOA623;;"76bis, Rue Franklin Roosevelt";59420;Mouvaux;HPFI;169.00;202.80;"Non payé";33.80;;;
230821-CDE-MOUVAUX-27-07-23-SAYP615-4388;21/08/2023;CDE-MOUVAUX-27-07-23-SAYP615;;"76bis, Rue Franklin Roosevelt";59420;Mouvaux;HPFI;1657.90;1989.48;"Non payé";331.58;;;
230821-CDE-Cigair-Distribution-16-08-2023-DFGS622-4387;21/08/2023;CDE-Cigair-Distribution-16-08-2023-DFGS622;;"17 Rue de la République";28230;Gas;"Cigair Distribution";91.89;110.27;"Non payé";18.38;;;
230821-CDE-Jeannette-74-31-07-23-EMSW617-4386;21/08/2023;CDE-Jeannette-74-31-07-23-EMSW617;;"57 Montée de Saint Menet";13011;Marseille;"MARIE JEANNE";3265.60;3918.72;"Non payé";653.12;;;
230816-CDE-Le-vapoteur-06-07-2023-QIXX592-4385;16/08/2023;CDE-Le-vapoteur-06-07-2023-QIXX592;;"RUE du Gravier 23";4032;Chênée;"LE VAPOTEUR";1450.00;1450.00;"Non payé";;;;0.00
230814-CDE-MAES-27-06-23-LISX582-4384;14/08/2023;CDE-MAES-27-06-23-LISX582;;"Avenue Zenobe Gramme 5";1480;Saintes;"ETS JF Maes";25239.60;25239.60;"Non payé";;;;0.00
20230810-JFGABHC-4383;10/08/2023;;;"1 BIS RUE DU METZ";59800;LILLE;SWA;;3564.00;"payé le 24/10/2023";;;;0.00
20230809-URWMFET-4382;09/08/2023;;;"12 RUE DE CANNES";59000;LILLE;"Elican Biotech";;5392.04;"Non payé";;;;0.00
20230809-YDTSCWK-4381;09/08/2023;;;"1 BIS RUE DU METZ";59800;LILLE;SWA;;7355.10;"payé le 07/08/2023";;;;0.00
230803-Fanvap-Vape-JAPAFLO-4380;03/08/2023;CDE-JAPAFLO-31-07-23-PERO618;;"39 BIS AVENUE DE PARIS";51100;REIMS;"SAS CIGAGESTION";1127.8;1353.36;"Non payé";225.56;;;
230801-CDE-SAS-GILE-27-07-23-IJUE612-4379;01/08/2023;CDE-SAS-GILE-27-07-23-IJUE612;;"57 MONTEE DE SAINT-MENET Zone Industrielle Delta";13011;Marseille;"SAS Gile";819.70;983.64;"Non payé";163.94;;;
230731-CDE-CERES-0053-27-06-23-USVL580-4378;31/07/2023;CDE-CERES-0053-27-06-23-USVL580;;"18 CHEMIN DU TISON";86000;POITIERS;"Laboratoire Cérès";12676.00;14906.98;"Non payé";2484.50;;;
230731-CDE-RONQ-27-07-23-HTIH613-4377;31/07/2023;CDE-RONQ-27-07-23-HTIH613;;"76bis, Rue Franklin Roosevelt";59420;Mouvaux;HPFI;963.30;1155.96;"Non payé";192.66;;;
230728-Epility-4376;28/07/2023;CDE-Epility-28-07-23-IESD614;;"39 BIS AVENUE DE PARIS";51100;REIMS;"SAS CIGAGESTION";169.5;203.4;"Non payé";33.9;;;
230726-CDE-CIKLOP-21-07-2023-PBNO610-4375;26/07/2023;CDE-CIKLOP-21-07-2023-PBNO610;;"126 RUE LEO BAEKELAND";85290;"MORTAGNE SUR SEVRE";"CI-KLOP HOLDING";579.00;694.80;"Non payé";115.80;;;
230726-CDE-BEYOND-THE-VAPES-12-07-2023-YXCQ600-4374;26/07/2023;CDE-BEYOND-THE-VAPES-12-07-2023-YXCQ600;;"10F Rue de la Retardais";35000;Rennes;"Culture Vap - Beyond the vapes";7936.90;9524.28;"Non payé";1587.38;;;
230726-CDE-CERES-0053-27-06-23-USVL580-4373;26/07/2023;CDE-CERES-0053-27-06-23-USVL580;;"18 CHEMIN DU TISON";86000;POITIERS;"Laboratoire Cérès";20472.00;24075.07;"Non payé";4012.51;;;
230725-CDE-HPFI-YZY-Comines-17-07-2023-LLGB603-4372;25/07/2023;CDE-HPFI-YZY-Comines-17-07-2023-LLGB603;;"76bis, Rue Franklin Roosevelt";59420;Mouvaux;HPFI;248.00;297.60;"Non payé";49.60;;;
230724-Extravape-Extravape-Extravape-Extravape--4371;24/07/2023;CDE--EXTRAVAPE-MD10-11-07-2023-GXLK605;;"39 BIS AVENUE DE PARIS";51100;REIMS;"SAS CIGAGESTION";5223.6;6268.32;"Non payé";1044.72;;;
230719-CDE-MAES-27-06-23-LISX582-4370;19/07/2023;CDE-MAES-27-06-23-LISX582;;"Avenue Zenobe Gramme 5";1480;Saintes;"ETS JF Maes";5248.80;5248.80;"Non payé";;;;0.00
230719-CDE-SMOKAIR-19-07-2023-XKPF602-4369;19/07/2023;CDE-SMOKAIR-19-07-2023-XKPF602;;"4 RUE DE L EGLISE";59114;STEENVOORDE;"SMOK'AIR STORE";193.90;232.68;"Non payé";38.78;;;
230713-CDE--HPFI-YZY-RONCQ-11-07-2023-FIMO597-4368;13/07/2023;CDE--HPFI-YZY-RONCQ-11-07-2023-FIMO597;;"76bis, Rue Franklin Roosevelt";59420;Mouvaux;HPFI;1423.10;1707.72;"Non payé";284.62;;;
230713-CDE-CERES-0053-27-06-23-USVL580-4367;13/07/2023;CDE-CERES-0053-27-06-23-USVL580;;"18 CHEMIN DU TISON";86000;POITIERS;"Laboratoire Cérès";14000.00;16464.00;"Non payé";2744.00;;;
230713-CDE-HPFI-YZY-MOUVAUX-WGMP599-4366;13/07/2023;CDE-HPFI-YZY-MOUVAUX-WGMP599;;"76bis, Rue Franklin Roosevelt";59420;Mouvaux;HPFI;539.40;647.28;"Non payé";107.88;;;
230713-CDE-MAES-27-06-23-LISX582-4365;13/07/2023;CDE-MAES-27-06-23-LISX582;;"Avenue Zenobe Gramme 5";1480;Saintes;"ETS JF Maes";12933.00;12933.00;"Non payé";;;;0.00
230712-CDE-ELEC-CLOPE-06-07-2023-TQDZ593-4364;12/07/2023;CDE-ELEC-CLOPE-06-07-2023-TQDZ593;;"46 RUE GARIBALDI";76300;"SOTTEVILLE LES ROUEN";"Elec clope";400.20;480.24;"Non payé";80.04;;;
230712-CDE-YZY-CONINES-10-07-2023-KTIC596-4363;12/07/2023;CDE-YZY-CONINES-10-07-2023-KTIC596;;"76bis, Rue Franklin Roosevelt";59420;Mouvaux;HPFI;118.50;142.20;"Non payé";23.70;;;
230712-CDE-URGENTE-HPFI-RONCQ-NPXH595-4362;12/07/2023;CDE-URGENTE-HPFI-RONCQ-NPXH595;;"76bis, Rue Franklin Roosevelt";59420;Mouvaux;HPFI;38.40;46.08;"Non payé";7.68;;;
230712-ZOTIPJLTE-4361;12/07/2023;ZOTIPJLTE;"Aeroma prostore";-;-;-;"SAFLOG / Chrystelle BORGHI";308.11;369.73;"Non payé";61.62;;;
230712-CDE-SMOKAIR11-07-2023-UBQP598-4360;12/07/2023;CDE-SMOKAIR11-07-2023-UBQP598;;"4 RUE DE L EGLISE";59114;STEENVOORDE;"SMOK'AIR STORE";135.59;162.71;"Non payé";27.12;;;
230710-Cde-BleuBlancVape-28-06-2023--LGJP589-4359;10/07/2023;Cde-BleuBlancVape-28-06-2023--LGJP589;;"8 AVENUE NATIONALE La Neuvillette";51100;REIMS;Distrivape;900.00;1080.00;"Non payé";180.00;;;
230706-CDE-JEANNETTE73-29-06-23-CMZN585-4358;06/07/2023;CDE-JEANNETTE73-29-06-23-CMZN585;;"57 Montée de Saint Menet";13011;Marseille;"MARIE JEANNE";4556.64;5467.97;"Non payé";911.33;;;
230706-CDE-15-06-2023-JARO568-4357;06/07/2023;CDE-15-06-2023-JARO568;;"76bis, Rue Franklin Roosevelt";59420;Mouvaux;HPFI;434.75;521.70;"Non payé";86.95;;;
230706-CDE-ONCLE-VAP-22-06-23-UXEV578-4356;06/07/2023;CDE-ONCLE-VAP-22-06-23-UXEV578;;"76bis, Rue Franklin Roosevelt";59420;Mouvaux;HPFI;1494.65;1793.58;"Non payé";298.93;;;
230706-CDE-COMINES-26-06-23-TNJS579-4355;06/07/2023;CDE-COMINES-26-06-23-TNJS579;;"76bis, Rue Franklin Roosevelt";59420;Mouvaux;HPFI;489.90;587.88;"Non payé";97.98;;;
230706-CDE-Vapair-du-22-06-2023-XOMA574-4354;06/07/2023;CDE-Vapair-du-22-06-2023-XOMA574;;"15 rue Roger Bouvry";59213;SECLIN;"ALTERNA DJC (VAP AIR)";2806.76;3368.11;"Non payé";561.35;;;
230705-CDE-CERES-0053-27-06-23-USVL580-4353;05/07/2023;CDE-CERES-0053-27-06-23-USVL580;;"18 CHEMIN DU TISON";86000;POITIERS;"Laboratoire Cérès";9296.00;10932.10;"Non payé";1822.02;;;
230705-CDE-Bello-Mondo-18--04-07-2023-ITFA590-4352;05/07/2023;CDE-Bello-Mondo-18--04-07-2023-ITFA590;;"HELSTSTRAAT 150-159 CP 26";2630;AARTSELAAR;"Bello Mondo";174.90;174.90;"Non payé";;;;0.00
230705-CDE-CERES-05-06-23-IERE556-4351;05/07/2023;CDE-CERES-05-06-23-IERE556;;"18 CHEMIN DU TISON";86000;POITIERS;"Laboratoire Cérès";336.00;395.14;"Non payé";65.86;;;
230705-CDE-CERESbis-05-06-23-LOUC583-4350;05/07/2023;CDE-CERESbis-05-06-23-LOUC583;;"18 CHEMIN DU TISON";86000;POITIERS;"Laboratoire Cérès";1008.00;1185.41;"Non payé";197.57;;;
230705-CDE-Smokair-04-07-2023-BIVI591-4349;05/07/2023;CDE-Smokair-04-07-2023-BIVI591;;"4 RUE DE L EGLISE";59114;STEENVOORDE;"SMOK'AIR STORE";310.52;372.62;"Non payé";62.10;;;
230704-CDE-SAS-GILE-22-06-2023-GERY575-4348;04/07/2023;CDE-SAS-GILE-22-06-2023-GERY575;;"57 MONTEE DE SAINT-MENET Zone Industrielle Delta";13011;Marseille;"SAS Gile";1357.90;1629.48;"Non payé";271.58;;;
230704-CDE-ALTERNACIG-30-06-23-LCEO587-4347;04/07/2023;CDE-ALTERNACIG-30-06-23-LCEO587;;"163 PLACE JEAN JAURES";62110;"HENIN BEAUMONT";"SAS ALTERNACIG";661.32;793.58;"Non payé";132.26;;;
230704-Urgente-4346;04/07/2023;Cde-Urgente-La-Vape-D-aur-03-07-2023-IDAY588;;"39 BIS AVENUE DE PARIS";51100;REIMS;"SAS CIGAGESTION";25.8;30.96;"Non payé";5.16;;;
230704-CDE-RONQ-28-06-23-EKWA584-4345;04/07/2023;CDE-RONQ-28-06-23-EKWA584;;"76bis, Rue Franklin Roosevelt";59420;Mouvaux;HPFI;813.10;975.72;"Non payé";162.62;;;
230704-Cde-YZY-RONCQ-13-06-2023-ENDE567-4344;04/07/2023;Cde-YZY-RONCQ-13-06-2023-ENDE567;;"76bis, Rue Franklin Roosevelt";59420;Mouvaux;HPFI;562.80;675.36;"Non payé";112.56;;;
230629-VOHQJIZWP-4343;29/06/2023;VOHQJIZWP;"Aeroma prostore";;;;"Ovelacque Anita";159.09;189.09;"payé le 29/06/2023";30.00;;;
230622-Extravape-EXTRAVAPE-EXTRAVAPE-EXtravape--4342;22/06/2023;CDE--EXTRAVAPE-VAPE-D-AUR-15-06-2023--VWOP569;;"39 BIS AVENUE DE PARIS";51100;REIMS;"SAS CIGAGESTION";9887;11864.4;"Non payé";1977.4;;;
230622-CDE-MAES-09-06-23-RTXV564-4341;22/06/2023;CDE-MAES-09-06-23-RTXV564;;"Avenue Zenobe Gramme 5";1480;Saintes;"ETS JF Maes";626.40;626.40;"Non payé";;;;0.00
230622-CDE-MAES-09-06-23-RTXV564-4340;22/06/2023;CDE-MAES-09-06-23-RTXV564;;"Avenue Zenobe Gramme 5";1480;Saintes;"ETS JF Maes";2662.20;2662.20;"Non payé";;;;0.00
230621-CDE-CERES-05-06-23-IERE556-4339;21/06/2023;CDE-CERES-05-06-23-IERE556;;"18 CHEMIN DU TISON";86000;POITIERS;"Laboratoire Cérès";6362.00;7481.71;"Non payé";1246.95;;;
20230620-SIDLDSW-4338;20/06/2023;;;"1 BIS RUE DU METZ";59800;LILLE;SWA;;587.22;"payé le 05/07/2023";1246.95;;;
230620-CDE-VAPAIR-08-06-2023-CQWL560-4337;20/06/2023;CDE-VAPAIR-08-06-2023-CQWL560;;"15 rue Roger Bouvry";59213;SECLIN;"ALTERNA DJC (VAP AIR)";551.10;661.32;"Non payé";110.22;;;
230620-Reliquat-CDE-ZIZG573-4336;20/06/2023;Reliquat-CDE-ZIZG573;;"15 rue Roger Bouvry";59213;SECLIN;"ALTERNA DJC (VAP AIR)";485.97;583.16;"Non payé";97.19;;;
230620-CDE-L-ami-CBD--14-06-23-OXCL566-4335;20/06/2023;CDE-L-ami-CBD--14-06-23-OXCL566;;"13 place Eugène Fievet";59540;Caudry;"L'AMI CBD";226.68;272.02;"Non payé";45.34;;;
230620-CDE-MAES-09-06-23-RTXV564-4334;20/06/2023;CDE-MAES-09-06-23-RTXV564;;"Avenue Zenobe Gramme 5";1480;Saintes;"ETS JF Maes";1603.80;1603.80;"Non payé";;;;0.00
230620-CDE-CERES-05-06-23-IERE556-4333;20/06/2023;CDE-CERES-05-06-23-IERE556;;"18 CHEMIN DU TISON";86000;POITIERS;"Laboratoire Cérès";10644.00;12517.34;"Non payé";2086.22;;;
20230619-PAHQHDL-4332;19/06/2023;;;"1 BIS RUE DU METZ";59800;LILLE;SWA;;2478.85;"payé le 05/07/2023";2086.22;;;
230615-CDE-PHOENIX-VAPE-08-06-2023-IWXZ562-4331;15/06/2023;CDE-PHOENIX-VAPE-08-06-2023-IWXZ562;;"Rue des croisettes 2";7850;Enghien;"AFDG SPRL";1990.00;1990.00;"Non payé";;;;0.00
230614-Cde--SMOKAIR-13-06-2023-HDPH565-4330;14/06/2023;Cde--SMOKAIR-13-06-2023-HDPH565;;"4 RUE DE L EGLISE";59114;STEENVOORDE;"SMOK'AIR STORE";518.00;621.60;"Non payé";103.60;;;
230614-CDE--BELLO-MONDO--08-06-2023-OKHO563-4329;14/06/2023;CDE--BELLO-MONDO--08-06-2023-OKHO563;;"HELSTSTRAAT 150-159 CP 26";2630;AARTSELAAR;"Bello Mondo";252.71;252.71;"Non payé";;;;0.00
230614-CDE-CERES-05-06-23-IERE556-4328;14/06/2023;CDE-CERES-05-06-23-IERE556;;"18 CHEMIN DU TISON";86000;POITIERS;"Laboratoire Cérès";1630.00;1916.88;"Non payé";319.48;;;
230613-CDE-CERES-05-06-23-IERE556-4327;13/06/2023;CDE-CERES-05-06-23-IERE556;;"18 CHEMIN DU TISON";86000;POITIERS;"Laboratoire Cérès";5772.00;6787.87;"Non payé";1131.31;;;
230613-CDE-ElicanB-Mindology-21-04-23-PJSS511-4326;13/06/2023;CDE-ElicanB-Mindology-21-04-23-PJSS511;;"12 RUE DE CANNES";59000;LILLE;"Elican Biotech";1500.00;1800.00;"Non payé";300.00;;;
230613-Cde-ROBOTCLOPE-07-06-2023-EKUM559-4325;13/06/2023;Cde-ROBOTCLOPE-07-06-2023-EKUM559;;"rue de Robiano 3";7130;BINCHE;"Robot Clope";1104.00;1104.00;"Non payé";;;;0.00
230607-CDE-VAPAIR-03-05-2023-RHCX526-4324;07/06/2023;CDE-VAPAIR-03-05-2023-RHCX526;;"15 rue Roger Bouvry";59213;SECLIN;"ALTERNA DJC (VAP AIR)";2123.72;2548.46;"Non payé";424.74;;;
230606-Cde-YZY-RONCQ-02-06-2023-WNBD558-4323;06/06/2023;Cde-YZY-RONCQ-02-06-2023-WNBD558;;"76bis, Rue Franklin Roosevelt";59420;Mouvaux;HPFI;565.80;678.96;"Non payé";113.16;;;
230606-CDE-YZY-Comines-06-06-2023-YYWN557-4322;06/06/2023;CDE-YZY-Comines-06-06-2023-YYWN557;;"76bis, Rue Franklin Roosevelt";59420;Mouvaux;HPFI;514.40;617.28;"Non payé";102.88;;;
230606-CDE--BELIQUID-19-04-2023-TDPG505-4321;06/06/2023;CDE--BELIQUID-19-04-2023-TDPG505;;"Avenue Zenobe Gramme 5";1480;Saintes;"ETS JF Maes";23916.60;23916.60;"Non payé";;;;0.00
230606-CDE-Jeannette-N---72-du-23-05-2023-FPKU544-4320;06/06/2023;CDE-Jeannette-N---72-du-23-05-2023-FPKU544;;"57 Montée de Saint Menet";13011;Marseille;"MARIE JEANNE";5329.10;6394.92;"Non payé";1065.82;;;
230606-CDE-GREENDOT-VAPAIR-01-06-2023-CODA553-4319;06/06/2023;CDE-GREENDOT-VAPAIR-01-06-2023-CODA553;;"76bis, Rue Franklin Roosevelt";59420;Mouvaux;HPFI;392.40;470.88;"Non payé";78.48;;;
230606-CDE-ELEC-CLOPE-29-05-2023-THSV550-4318;06/06/2023;CDE-ELEC-CLOPE-29-05-2023-THSV550;;"46 RUE GARIBALDI";76300;"SOTTEVILLE LES ROUEN";"Elec clope";262.61;315.13;"Non payé";52.52;;;
230606-CDE-SMOKAIR-01-06-2023-TQDN555-4317;06/06/2023;CDE-SMOKAIR-01-06-2023-TQDN555;;"4 RUE DE L EGLISE";59114;STEENVOORDE;"SMOK'AIR STORE";547.00;656.40;"Non payé";109.40;;;
230601-CDE-SAS-GILE-23-05-2023-TCPS543-4316;01/06/2023;CDE-SAS-GILE-23-05-2023-TCPS543;;"57 MONTEE DE SAINT-MENET Zone Industrielle Delta";13011;Marseille;"SAS Gile";956.70;1148.04;"Non payé";191.34;;;
230601-FANVAP-JAPAFLO-VAPE-4315;01/06/2023;CDE-VAPE-D-AUR-EXTRAVAPE-25-05-2023-QPLJ551;;"39 BIS AVENUE DE PARIS";51100;REIMS;"SAS CIGAGESTION";4049.68;4859.616;"Non payé";809.936;;;
230601-CDE-YZY-MOUVAUX-24-05-2023-EZGU548-4314;01/06/2023;CDE-YZY-MOUVAUX-24-05-2023-EZGU548;;"76bis, Rue Franklin Roosevelt";59420;Mouvaux;HPFI;1360.15;1632.18;"Non payé";272.03;;;
20230531-YDYWEUY-4313;31/05/2023;;;"1 BIS RUE DU METZ";59800;LILLE;SWA;;1090.08;"payé le 05/07/2023";272.03;;;
230531-CDE-YZY-RONCQ-23-05-2023-INXB547-4312;31/05/2023;CDE-YZY-RONCQ-23-05-2023-INXB547;;"76bis, Rue Franklin Roosevelt";59420;Mouvaux;HPFI;464.50;557.40;"Non payé";92.90;;;
230530-CDE-FEEROSA-VJRU549-4311;30/05/2023;CDE-FEEROSA-VJRU549;;"26 Bénihel";35550;"Saint Just";Feerosa;500.00;600.00;"Non payé";100.00;;;
230524-CDE-YZY-Comines-du-16-05-2023-YCUG546-4310;24/05/2023;CDE-YZY-Comines-du-16-05-2023-YCUG546;;"76bis, Rue Franklin Roosevelt";59420;Mouvaux;HPFI;543.63;652.36;"Non payé";108.73;;;
230524-Cde-YZY-COMINES-17-05-2023-GXEY542-4309;24/05/2023;Cde-YZY-COMINES-17-05-2023-GXEY542;;"76bis, Rue Franklin Roosevelt";59420;Mouvaux;HPFI;113.60;136.32;"Non payé";22.72;;;
230523-Commande-VApair-25-04-2023-EYRH514-4308;23/05/2023;Commande-VApair-25-04-2023-EYRH514;;"15 rue Roger Bouvry";59213;SECLIN;"ALTERNA DJC (VAP AIR)";540.00;648.00;"Non payé";108.00;;;
230517-EPILITY-vGVML-VAPE-4307;17/05/2023;CDE-VAPE-d-AUR-09-05-23-CIWA536;;"39 BIS AVENUE DE PARIS";51100;REIMS;"SAS CIGAGESTION";2274.4;2729.28;"Non payé";454.88;;;
230517-CDE-BEYOND-THE-VAPES-25-04-2023-UQCS521-4306;17/05/2023;CDE-BEYOND-THE-VAPES-25-04-2023-UQCS521;;"10F Rue de la Retardais";35000;Rennes;"Culture Vap - Beyond the vapes";10717.45;12860.94;"Non payé";2143.49;;;
230517-CDE-Smokair--16-05-2023-ASTT541-4305;17/05/2023;CDE-Smokair--16-05-2023-ASTT541;;"4 RUE DE L EGLISE";59114;STEENVOORDE;"SMOK'AIR STORE";874.50;1049.40;"Non payé";174.90;;;
230516-CDE--BELIQUID-19-04-2023-TDPG505-4304;16/05/2023;CDE--BELIQUID-19-04-2023-TDPG505;;"Avenue Zenobe Gramme 5";1480;Saintes;"ETS JF Maes";972.00;972.00;"Non payé";;;;0.00
230516-CDE-ROBOTCLOPE-10-05-2023-IRVA533-4303;16/05/2023;CDE-ROBOTCLOPE-10-05-2023-IRVA533;;"rue de Robiano 3";7130;BINCHE;"Robot Clope";828.00;828.00;"Non payé";;;;0.00
230516-Cde-HERMOSA-11-05-2023-AZPE535-4302;16/05/2023;Cde-HERMOSA-11-05-2023-AZPE535;;"38 BOULEVARD CARNOT BUREAU 3";59800;LILLE;HERMOSA;336.00;403.20;"Non payé";67.20;;;
230516-CDE-RONCQ-10-05-23-LOLG539-4301;16/05/2023;CDE-RONCQ-10-05-23-LOLG539;;"76bis, Rue Franklin Roosevelt";59420;Mouvaux;HPFI;363.90;436.68;"Non payé";72.78;;;
230516-CDE-GREENDOT-ALTERNACIG-24-04-2023-EZMO532-4300;16/05/2023;CDE-GREENDOT-ALTERNACIG-24-04-2023-EZMO532;;"76bis, Rue Franklin Roosevelt";59420;Mouvaux;HPFI;572.50;687.00;"Non payé";114.50;;;
230514-EWFLOATXJ-4299;14/05/2023;EWFLOATXJ;"Aeroma prostore";-;-;-;"SAFLOG / Chrystelle BORGHI";234.90;279.90;"payé le 14/05/2023";45.00;;;
230511-CDE-WAT-PRESSE-04-05-23-QASP529-4298;11/05/2023;CDE-WAT-PRESSE-04-05-23-QASP529;;"11 impasse du Docteur Fléming";62221;Noyelles-sous-lens;"SARL Wat Presse";546.00;655.20;"Non payé";109.20;;;
230511-Cde-Levapoteur-03-05-2023-STUA525-4297;11/05/2023;Cde-Levapoteur-03-05-2023-STUA525;;"RUE du Gravier 23";4032;Chênée;"LE VAPOTEUR";2750.00;2750.00;"Non payé";;;;0.00
230511-CDE-SMOKAIR-10-05-2023-KWXT534-4296;11/05/2023;CDE-SMOKAIR-10-05-2023-KWXT534;;"4 RUE DE L EGLISE";59114;STEENVOORDE;"SMOK'AIR STORE";711.00;853.20;"Non payé";142.20;;;
230510-Japaflo-Extravape-Extravape-4295;10/05/2023;CDE-Extravape-Vape-d-aur-27-04-2023-BYCJ522;;"39 BIS AVENUE DE PARIS";51100;REIMS;"SAS CIGAGESTION";5505.3;6606.36;"Non payé";1101.06;;;
230510-CDE-CIGUSTO-05-05-23-LIJM530-4294;10/05/2023;CDE-CIGUSTO-05-05-23-LIJM530;;"17 Rue de la République";28230;Gas;"Cigair Distribution";63.48;76.18;"Non payé";12.70;;;
20230510-CBYKRQJ-4293;10/05/2023;;;"1 BIS RUE DU METZ";59800;LILLE;SWA;;1483.21;"payé le 05/07/2023";12.70;;;
230509-CDE-BELLO-MONDO-28-04-23-IWMS518-4292;09/05/2023;CDE-BELLO-MONDO-28-04-23-IWMS518;;"HELSTSTRAAT 150-159 CP 26";2630;AARTSELAAR;"Bello Mondo";264.00;264.00;"Non payé";;;;0.00
230509-CDE-YZY-RONCQ-04-05-2023-MEYC528-4291;09/05/2023;CDE-YZY-RONCQ-04-05-2023-MEYC528;;"76bis, Rue Franklin Roosevelt";59420;Mouvaux;HPFI;166.20;199.44;"Non payé";33.24;;;
230509-Cde-Yzy-Roncq-27-04-2023-SLHE519-4290;09/05/2023;Cde-Yzy-Roncq-27-04-2023-SLHE519;;"76bis, Rue Franklin Roosevelt";59420;Mouvaux;HPFI;679.60;815.52;"Non payé";135.92;;;
230504-CDE-YZY-MOUVAUX-le-28-04-2023-KQZU520-4289;04/05/2023;CDE-YZY-MOUVAUX-le-28-04-2023-KQZU520;;"76bis, Rue Franklin Roosevelt";59420;Mouvaux;HPFI;1381.70;1658.04;"Non payé";276.34;;;
230504-CDE-CERES--PO2304-0038-WNVM488-4288;04/05/2023;CDE-CERES--PO2304-0038-WNVM488;;"18 CHEMIN DU TISON";86000;POITIERS;"Laboratoire Cérès";14820.00;17428.32;"Non payé";2904.72;;;
230504-CDE-SMOKE-AIR-03-05-23-XMNV527-4287;04/05/2023;CDE-SMOKE-AIR-03-05-23-XMNV527;;"4 RUE DE L EGLISE";59114;STEENVOORDE;"SMOK'AIR STORE";1137.50;1365.00;"Non payé";227.50;;;
230504-CDE-JEANNETTE-N--71---20-04-2023-GWJH509-4286;04/05/2023;CDE-JEANNETTE-N--71---20-04-2023-GWJH509;;"57 Montée de Saint Menet";13011;Marseille;"MARIE JEANNE";3565.69;4278.83;"Non payé";713.14;;;
